Country,Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Depth of credit information index (0=low to 8=high),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)",Export value index (2000 = 100),Export volume index (2000 = 100),"Fertility rate, total (births per woman)",Fixed broadband Internet subscribers (per 100 people),GDP growth (annual %),GDP per capita (constant 2005 US$),"GDP per capita, PPP (constant 2011 international $)",Individuals using the Internet (% of population),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Mobile cellular subscriptions (per 100 people),"Own-account workers, female (% of female employment) (modeled ILO estimate)","Own-account workers, male (% of male employment) (modeled ILO estimate)","Own-account workers, total (% of male employment) (modeled ILO estimate)",Population ages 0-14 (% of total),"Population ages 0-14, total",Population ages 15-64 (% of total),"Population ages 15-64, total",Population ages 65 and above (% of total),"Population ages 65 and above, total",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Private credit bureau coverage (% of adults),Public credit registry coverage (% of adults),Rural population,Rural population (% of total population),"Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)",Tax payments (number),Telephone lines (per 100 people),Time required to enforce a contract (days),Time required to start a business (days),Time to prepare and pay taxes (hours),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Urban population,Urban population (% of total),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Net trade in goods and services (BoP, current US$)"
Panama,93.4178009033203,82.8346,54.7184276714605,7.25299978256226,3.32599997520447,4.8600001335144,8.0,2.23000001907349,4.53700017929077,3.63499999046326,15.3620004653931,8.85700035095215,19.5359992980957,18.3920001983643,10.1379995346069,23.6889991760254,66.2460021972656,81.0059967041016,56.7750015258789,1170.449297,173.3818599,2.514,10.6573702957201,4.98859240427846,11102.556965498,21472.6901894809,54.0,52.7779998779297,81.1660003662109,66.9100036621094,1953279.0,81.092,75.071,127.457023454192,23.9260005950928,29.6119995117188,27.3910007476807,27.6356746045419,1114856.0,64.6335420447438,2607394.0,7.73078335071424,311869.0,54.2657923056228,1.62110303145586,4034119.0,58.1,0.0,1330170.0,32.973,33.4090003967285,37.4749984741211,35.8860015869141,52.0,16.1823684427752,790.0,6.0,417.0,5.67000007629395,3.48900008201599,4.35300016403198,15.9090003967285,9.11600017547607,11.5699996948242,2703949.0,67.027,31.1790003776551,32.9379994869233,32.2510008811951,66.5910034179688,62.5250015258789,64.1139984130859,-266461140.0
Libya,98.5367279052735,5.7288,48.7644630570495,22.1569995880127,7.57299995422363,10.7910003662109,0.0,2.38299989700317,5.77199983596802,5.02400016784668,16.806999206543,13.8739995956421,17.636999130249,28.2360000610352,32.2470016479492,27.1000003814697,54.9570007324219,53.8639984130859,55.2669982910156,47.1497949,25.34328358,2.274,2.68414443214026,-2.79546882881627,5848.93736052847,14298.4550473411,20.27215956269,25.8090000152588,78.9810028076172,52.4599990844727,2363336.0,74.941,69.165,121.718735922424,22.1889991760254,26.8020000457764,25.7840003967285,28.4150025431998,1788228.0,67.2203548784706,4230347.0,4.36464257832952,274678.0,3.57664673721541,0.930674535288235,6293253.0,0.0,0.5,1287600.0,20.46,46.7299995422363,40.1469993591309,41.5989990234375,19.0,21.8393889455898,690.0,35.0,889.0,26.6620006561279,15.7440004348755,18.4230003356934,64.2829971313477,38.5859985351563,45.7070007324219,5005653.0,79.54,44.3459987640381,34.375,36.5750007629394,53.2700004577637,59.8530006408691,58.4010009765625,-4700400000.0
Kenya,56.0,81.7916,77.045331711067,48.3489990234375,23.7779998779297,35.1910018920898,7.0,7.67199993133545,7.5479998588562,7.60599994659424,38.0909996032715,47.3359985351563,30.07200050354,14.1990003585815,7.49100017547607,20.0179996490479,47.7099990844727,45.1720008850098,49.9099998474121,328.4185129,193.1628915,3.852,0.315697591866974,5.86919284911032,1143.36440424737,2926.53250207873,16.6,62.5139999389648,68.4680023193359,65.443000793457,18748056.0,69.44,64.638,80.4393881856936,22.6630001068115,16.3570003509521,19.2859992980957,40.88528751041,19813651.0,56.4827092776426,27372406.0,2.63200321194731,1275510.0,85.1487630459992,2.56092539826487,48461567.0,25.8,0.0,35810675.0,73.895,78.6839981079102,47.681999206543,62.0820007324219,31.0,0.150224197248925,465.0,23.0,195.5,15.3190002441406,7.93800020217896,11.5200004577637,33.1479988098145,20.1539993286133,26.2509994506836,12650892.0,26.105,71.011999130249,40.1350002288818,54.4770011901855,21.3159999847412,52.318000793457,37.9179992675781,-6258681910.57285
South Sudan,8.94762802124023,65.2468,82.9560644445588,47.7799987792969,17.548999786377,32.2350006103516,0.0,5.36299991607666,11.3470001220703,8.4399995803833,64.4059982299805,62.0349998474121,66.6460037231445,19.0520000457764,25.1450004577637,13.2969999313354,16.5419998168945,12.7950000762939,20.0809993743896,4.711472602739726,4.711472602739726,4.855,0.00122641902813651,-13.833722741433,4.711472602739726,1569.88834552626,6.6797280510287,70.7170028686523,73.9459991455078,72.3209991455078,5140930.0,57.839,55.796,22.0755425064571,9.05300045013428,25.6009998321533,17.5620002746582,41.8801003701333,5122242.0,54.6579312927356,6685064.0,3.46196833713114,423424.0,4.711472602739726,2.89155414538035,12230730.0,0.0,0.0,9895639.0,80.908,62.1959991455078,54.4959983825684,58.2369995117188,37.0,0.0,228.0,14.0,210.0,12.6540002822876,10.4659996032715,11.5419998168945,16.0359992980957,18.9340000152588,17.4389991760254,2335091.0,19.092,56.8329992294312,43.1499996185303,49.7970008850098,37.8040008544922,45.5040016174316,41.7630004882813,-424540000.0
Qatar,100.0,10.1912,17.7440534717901,0.0270000007003546,0.00999999977648258,0.0120000001043081,5.0,0.331000000238419,0.272000014781952,0.280000001192093,1.21599996089935,0.00999999977648258,1.41100001335144,54.5550003051758,6.60099983215332,62.3079986572266,44.2290000915527,93.3759994506836,36.2830009460449,493.8206917,81.50906736,1.907,9.8730486838685,2.22312097167656,66410.7564675877,118207.134622686,94.2911181549896,58.3730010986328,94.7389984130859,87.140998840332,1928490.0,79.885,77.411,142.134536330397,0.0560000017285347,0.159999996423721,0.145999997854233,13.8818369027366,356736.0,84.929979095682,2182534.0,1.18818400158144,30534.0,221.344013781223,3.49506991849135,2569804.0,0.0,30.5,25313.0,0.984999999999999,0.41499999165535,0.44200000166893,0.437999993562698,4.0,18.1783513450831,570.0,8.7,41.0,0.654999971389771,0.0560000017285347,0.140000000596046,2.07299995422363,0.180999994277954,0.446999996900558,2544491.0,99.015,0.0830000024288893,0.169999996200204,0.157999997958541,99.5849990844727,99.5579986572266,99.5619964599609,9009065934.06594
Comoros,77.8442153930664,67.17,75.1352695926283,19.1429996490479,9.63599967956543,13.5699996948242,2.0,4.60300016403198,5.60599994659424,5.19099998474121,55.2330017089844,61.9300003051758,50.5040016174316,15.3159999847412,13.418999671936,16.6550006866455,29.451000213623,24.6509990692139,32.8409996032715,225.2886981,114.9616685,4.347,0.205379329588575,2.20000002289547,768.438960248231,1411.15233885964,7.938322770803,35.7620010375977,50.1199989318848,42.9599990844727,205152.0,65.444,62.018,57.1126733123764,58.5379981994629,44.4830017089844,50.2999992370605,39.9770739353017,318058.0,57.0987215953725,454278.0,2.9242044693257,23265.0,427.512627619559,2.31119138125652,795601.0,0.0,7.9,567908.0,71.381,82.2839965820313,59.7239990234375,69.0609970092773,33.0,1.64014374039248,506.0,16.0,100.0,4.64300012588501,4.13700008392334,4.34700012207031,8.60000038146973,11.2930002212524,9.92199993133545,227693.0,28.619,77.6809978485108,54.1190013885498,63.8699989318847,17.7159996032715,40.2760009765625,30.9389991760254,-159896893.292169
Cambodia,49.7706565856934,49.9048,55.3992529338044,26.7590007781982,11.0410003662109,18.8859996795654,6.0,0.328999996185303,0.563000023365021,0.446000009775162,27.4360008239746,26.9340000152588,27.9370002746582,27.0520000457764,26.1809997558594,27.9209995269775,45.5110015869141,46.8849983215332,44.1419982910156,724.6966538,616.2048262,2.56,0.613524489020369,6.95309439613069,1079.1135407797,3465.12556490306,32.3984517141849,80.6999969482422,88.3960037231445,84.379997253418,9125204.0,70.949,66.809,126.348404459482,30.6550006866455,33.8279991149902,32.2439994812012,31.3909266182687,4947954.0,64.3503737064921,10143144.0,4.25869967523919,671272.0,89.2950940403354,1.56483347115177,15762370.0,44.0,0.0,12202912.0,77.418,57.7430000305176,45.431999206543,51.5769996643066,40.0,1.44179460322274,483.0,99.0,173.0,0.18299999833107,0.212999999523163,0.197999998927116,0.326999992132187,0.43299999833107,0.381999999284744,3559458.0,22.582,57.4140014648437,44.8689994812011,51.1299991607666,42.2569999694824,54.568000793457,48.4230003356934,-2244081820.13337
Belize,92.2143173217773,64.7226,55.6604734029015,4.81300020217896,3.54200005531311,4.01800012588501,0.0,3.76399993896484,5.94899988174438,5.13000011444092,15.0469999313354,3.07599997520447,22.2290000915527,15.1510000228882,8.4399995803833,19.1770000457764,69.802001953125,88.484001159668,58.5940017700195,234.943805,132.7804377,2.51,5.99530186344882,-0.486536511492986,4367.49987563697,7919.14724135852,44.57574032,52.7680015563965,81.1380004882813,66.7949981689453,166784.0,73.396,67.736,61.8606146819492,25.3659992218018,20.382999420166,22.2509994506836,31.9544139047401,117258.0,64.2423846040648,235740.0,3.80320149119508,13956.0,16.0874177992109,2.11122043120101,366954.0,0.0,0.0,200008.0,54.505,33.943000793457,29.8740005493164,31.3990001678467,29.0,6.26781558451468,892.0,43.0,147.0,13.5819997787476,4.13800001144409,7.90999984741211,28.6630001068115,11.0340003967285,17.7430000305176,166946.0,45.495,30.1789994239808,23.9249994754791,26.2689995765686,66.056999206543,70.1259994506836,68.6009979248047,-163283832.513023
Central African Republic,13.9851121902466,105.7876,89.2512487699714,2.71199989318848,2.75200009346008,2.73399996757507,0.0,0.808000028133392,2.51600003242493,1.74800002574921,85.6279983520508,90.5279998779297,81.6269989013672,7.9210000038147,6.16800022125244,9.35299968719482,6.44999980926514,3.3050000667572,9.01900005340576,58.04099379,43.81696612,4.869,4.711472602739726,4.53128596327306,325.720465732059,642.873494030895,4.0,63.3810005187988,79.9300003051758,71.4810028076172,1855564.0,54.042,50.323,27.1697273833903,72.056999206543,58.5400009155273,64.6159973144531,43.5016729345032,1998737.0,52.8398098559163,2427789.0,3.65851720958051,168095.0,7.37523034447334,1.06165488996168,4594621.0,0.0,3.1,2728378.0,59.382,75.5770034790039,63.8089981079102,69.0979995727539,56.0,0.0427456366912527,660.0,22.0,483.0,6.82600021362305,5.60900020599365,6.15999984741211,11.7019996643066,10.4040002822876,11.0290002822876,1866243.0,40.618,74.7689990997315,61.2920010089874,67.3499972820282,24.4230003356934,36.1910018920898,30.9020004272461,4.711472602739726
Bulgaria,100.0,40.2932,52.8289936362545,0.830999970436096,0.433999985456467,0.619000017642975,5.0,2.12400007247925,4.82600021362305,3.56599998474121,6.75299978256226,4.2480001449585,8.94200038909912,29.7900009155273,22.3680000305176,36.2729988098145,63.4570007324219,73.3840026855469,54.7849998474121,535.1616795,328.4463895,1.53,23.8041285598782,3.94109784363204,7967.70816911051,17794.5427573699,59.825547661014,47.7630004882813,59.5800018310547,53.4539985656738,3273146.0,78.2,71.2,125.834348314673,6.00099992752075,8.95199966430664,7.57600021362305,14.0930357650164,1004527.0,65.4326148209618,4663920.0,20.4743494140218,1459375.0,65.6579034635225,-0.701382097841331,7127822.0,0.0,66.9,1829783.0,25.671,8.95600032806396,14.2110004425049,11.7609996795654,14.0,20.7386418610182,564.0,23.0,453.0,6.96400022506714,8.0930004119873,7.57000017166138,16.8880004882813,17.4050006866455,17.2000007629395,5298039.0,74.329,6.83199989795685,9.38599964976311,8.19500023126603,91.0439987182617,85.7890014648438,88.2389984130859,2699850000.0
Peru,94.8517456054688,48.4014,52.9910051965396,23.0230007171631,7.23000001907349,14.3870000839233,8.0,2.41899991035461,5.80499982833862,4.27099990844727,28.375,27.3509998321533,29.2229995727539,16.2199993133545,9.0620002746582,22.1480007171631,55.4049987792969,63.5870018005371,48.6279983520508,532.282671,205.7704704,2.4,6.6745538680422,3.95130919243149,6094.73824934176,12082.1680106024,45.4617406869459,68.5130004882813,84.1849975585938,76.2750015258789,17532996.0,77.659,72.366,116.237641287224,34.9650001525879,36.8190002441406,35.9790000915527,27.6557170192749,8787283.0,65.3633198053279,20768436.0,6.98096317539722,2218120.0,24.82331171875,1.25786232511699,31773839.0,100.0,37.4,7136722.0,22.461,60.4059982299805,49.8540000915527,54.6360015869141,9.0,9.6760860404687,426.0,26.5,260.0,3.56800007820129,3.49799990653992,3.52999997138977,8.75300025939941,8.65299987792969,8.69799995422363,24637117.0,77.539,57.988000869751,44.0490002632141,50.366000175476,39.5940017700195,50.1459999084473,45.3639984130859,-760065695.65512
China,100.0,6.5024,38.549146051708,13.3299999237061,3.83699989318848,8.01500034332275,8.0,1.66400003433228,4.68400001525879,3.35500001907349,18.3570003509521,21.4489994049072,15.9270000457764,26.7910003662109,22.0139999389648,30.5459995269775,54.8520011901855,56.5379981994629,53.5270004272461,841.7362552,677.6427467,1.624,22.9851739297553,6.69999999999993,6894.46452231334,14400.8850630561,53.2,62.0340003967285,76.3939971923828,69.3659973144531,787050042.0,77.833,74.795,97.2521300341807,21.1809997558594,28.0139999389648,25.0069999694824,17.7005446664063,244031214.0,72.1765545818009,995072896.0,10.1229007517928,139560890.0,146.850661963179,0.541478512050099,1378665000.0,21.3,91.1,596465626.0,43.264,36.1749992370605,36.5349998474121,36.3769989013672,9.0,14.7220481841485,496.3,26.9,259.0,4.13100004196167,5.05100011825562,4.64900016784668,9.6569995880127,11.8999996185303,10.875,782199374.0,56.736,34.5109996795655,31.8509998321533,33.0220003128051,63.8250007629395,63.4650001525879,63.6230010986328,255737088242.15
Vietnam,100.0,29.0386,42.8589025256001,22.0580005645752,10.4180002212524,16.0219993591309,7.0,1.85699999332428,3.7739999294281,2.8510000705719,41.8650016784668,43.4860000610352,40.3600006103516,24.761999130249,20.7730007171631,28.4659996032715,33.3730010986328,35.7410011291504,31.173999786377,1220.635564,646.1549729,1.954,9.61126910497758,6.21081166789989,1735.29095437463,5837.62870356959,46.5,73.2020034790039,83.4800033569336,78.2020034790039,56888431.0,80.875,71.532,127.526084849389,40.298999786377,39.4889984130859,39.8790016174316,23.0768691480868,21823581.0,69.9991377730766,66197535.0,6.9239930788366,6547956.0,304.992653271842,1.06039221740654,94569072.0,14.8,41.8,61933285.0,65.49,64.2129974365234,53.6809997558594,58.7509994506836,31.0,5.91950082792395,400.0,24.0,540.0,1.95700001716614,2.23300004005432,2.09999990463257,7.02899980545044,6.91699981689453,6.96799993515015,32635787.0,34.51,62.3570003509522,49.9069986343383,55.9010009765625,35.7869987487793,46.3190002441406,41.2490005493164,6784000000.0
Azerbaijan,100.0,52.612,40.8816025988089,41.3400001525879,26.007999420166,33.4189987182617,6.0,10.7069997787476,15.4040002822876,13.1339998245239,36.3370018005371,42.0950012207031,30.9379997253418,14.3280000686646,6.02400016784668,22.1140003204346,49.3349990844727,51.8810005187988,46.9480018615723,757.049341,496.9426578,1.94,18.5459359103442,-3.10000020204575,5861.51196206606,16001.3233967209,78.2,62.9630012512207,69.713996887207,66.2480010986328,4966648.0,75.046,69.002,104.76715758856,20.6770000457764,22.5559997558594,21.6480007171631,23.1686980534223,2260758.0,70.9815846708652,6926250.0,5.84971727571253,570804.0,118.043284177927,1.11785721013911,9757812.0,0.0,36.4,4388966.0,44.979,72.7229995727539,63.9679985046387,68.1999969482422,6.0,17.4824397534861,277.0,4.5,195.0,5.90700006484985,4.13500022888184,5.0,14.9980001449585,12.1429996490479,13.4910001754761,5368846.0,55.021,62.0170001983643,48.5639991760254,55.0669994354248,27.2770004272461,36.0320014953613,31.7999992370605,1051820000.0
"Congo, Rep.",56.5661697387695,114.0906,84.3862288965541,4.42600011825562,4.59499979019165,4.51399993896484,2.0,0.794000029563904,2.18600010871887,1.51499998569489,36.7229995727539,37.6910018920898,35.8219985961914,25.681999206543,25.6590003967285,25.7029991149902,37.5950012207031,36.6510009765625,38.4729995727539,143.5687425,77.2784275,4.661,4.711472602739726,-2.80001878768313,2771.39734452277,5250.86760824979,8.121949323466,67.4509963989258,72.052001953125,69.7409973144531,2059688.0,66.271,63.016,105.817194943015,87.0130004882813,54.9029998779297,70.3769989013672,42.3831031165544,2172482.0,54.2339851508666,2779937.0,3.38291173257904,173402.0,15.0097247437775,2.57235739004817,5125821.0,0.0,12.2,1742728.0,33.999,92.2330017089844,61.6839981079102,76.4069976806641,50.0,0.331654187690128,560.0,50.0,602.0,11.1079998016357,9.77299976348877,10.4209995269775,20.9829998016357,22.0540008544922,21.5189990997314,3383093.0,66.001,91.4390006065369,59.4979996681214,74.890998840332,7.76700019836426,38.3160018920898,23.5930004119873,-2691494915.77189
Philippines,90.9816131591797,59.855,57.8588078532113,12.3529996871948,5.8769998550415,8.44900035858154,5.0,2.10599994659424,4.11899995803833,3.31900000572205,26.9860000610352,17.4099998474121,33.2949981689453,17.4640007019043,9.99100017547607,22.3880004882813,55.5499992370605,72.5989990234375,44.3170013427734,150.7583043,177.9415696,2.925,2.8895137294614,6.87571482288942,2752.1091206242,7233.20610317139,55.5,49.3950004577637,75.1650009155273,62.2439994812012,43753750.0,72.658,65.812,116.237550283235,27.7169990539551,26.5109996795654,26.9899997711182,31.9649893899763,33026298.0,63.3477481300805,65451034.0,4.68726247994318,4842890.0,346.514478317738,1.56449713137855,103320222.0,10.2,0.0,55302149.0,53.525,42.1759986877441,36.5069999694824,38.7589988708496,28.0,3.66042767503926,962.0,28.0,185.6,2.87299990653992,2.60199999809265,2.71000003814697,9.15200042724609,6.7649998664856,7.6710000038147,48018073.0,46.475,40.0699987411499,32.3879995346069,35.4390001296997,57.8240013122559,63.4930000305176,61.2410011291504,-28505668860.9328
Burkina Faso,19.1647129058838,106.5448,91.561139777724,56.3540000915527,33.0480003356934,43.1430015563965,0.0,0.331999987363815,1.00600004196167,0.71399998664856,28.9220008850098,20.4360008239746,35.4059982299805,31.9039993286133,32.6389999389648,31.3430004119873,39.173999786377,46.9259986877441,33.25,1148.388422,561.912943,5.353,0.0743037555762006,5.92457756137202,663.961762877322,1642.32200318544,13.96,58.367000579834,75.2850036621094,66.6500015258789,6787147.0,60.992,59.598,82.6111889603765,34.0800018310547,51.7480010986328,44.0960006713867,45.3875923614989,8463167.0,52.2026545237902,9733933.0,2.409753114711,449333.0,68.1521673976608,2.91561403403432,18646433.0,0.0,0.3,13400446.0,71.866,90.765998840332,85.802001953125,87.9520034790039,45.0,0.406120570084369,446.0,13.0,270.0,9.29399967193604,4.04400014877319,6.39099979400635,12.8009996414185,5.42399978637695,8.55200004577637,5245987.0,28.134,90.4340019226074,84.7960014343262,87.2390022277832,9.23400020599365,14.1979999542236,12.0480003356934,-796037006.753357
Ireland,100.0,10.1352,54.5165857204269,0.843999981880188,0.662999987602234,0.745000004768372,7.0,2.41400003433228,6.55399990081787,4.66900014877319,5.60400009155273,1.37100005149841,9.14299964904785,19.556999206543,8.97200012207031,28.4039993286133,74.838996887207,89.6569976806641,62.4529991149902,166.9323794,130.3322615,1.92,28.7806295198683,5.14146015448682,69892.3156470839,63227.2079765883,85.0111321151019,53.2410011291504,67.7850036621094,60.3849983215332,2248289.0,83.4,79.9,103.153523915602,5.05700016021729,16.8980007171631,11.5059995651245,21.703598628715,1032079.0,64.7179754544889,3077557.0,13.5784259167961,645700.0,69.027943097692,1.12883406399428,4755335.0,100.0,0.0,1771980.0,37.263,8.31400012969971,24.1149997711182,16.9209995269775,9.0,40.1434762608658,650.0,5.0,82.0,6.52099990844727,9.00399971008301,7.8899998664856,14.5349998474121,19.3540000915527,17.0690002441406,2983355.0,62.737,5.90100014209748,17.5610007047653,12.2509995698929,91.6859970092773,75.8850021362305,83.0790023803711,57046573634.8298
Moldova,100.0,22.6952,35.2138915800473,2.09100008010864,1.80200004577637,1.94599997997284,6.0,0.257999986410141,1.46599996089935,0.864000022411346,33.6959991455078,30.3059997558594,37.0660018920898,17.1429996490479,11.9930000305176,22.2609996795654,49.1599998474121,57.701000213623,40.6730003356934,433.3262712,457.3441166,1.241,13.7304636309713,4.49999996561689,2070.63437234331,4963.39834391968,70.9999991066624,39.9749984741211,45.931999206543,42.7960014343262,1281176.0,75.895,67.334,93.3215719350243,19.2259998321533,34.2680015563965,26.7709999084473,15.7173549761455,558273.0,73.9568943602436,2626915.0,10.3257506636109,366766.0,123.731285052426,-0.0606242970008353,3551954.0,11.4,0.0,2041983.0,57.489,21.576000213623,37.5349998474121,29.5809993743896,10.0,28.8522192290487,585.0,6.0,181.0,2.88499999046326,5.43300008773804,4.17999982833862,11.6960000991821,10.875,11.2349996566772,1509971.0,42.511,21.3169999122619,36.0700016021729,28.7169998884201,78.4240036010742,62.4650001525879,70.4189987182617,-1858100000.0
Zambia,27.2193374633789,85.9728,90.7796634648112,54.3250007629395,17.3460006713867,34.9000015258789,8.0,0.291000008583069,0.409999996423721,0.354000002145767,53.3209991455078,62.8650016784668,44.6969985961914,11.8039999008179,4.0939998626709,18.7719993591309,34.8740005493164,33.0410003662109,36.5320014953613,650.0782034,267.8411004,4.981,0.191569241636777,3.75717780476374,1629.59030492169,3652.15192618377,25.5065788475702,70.1279983520508,79.754997253418,74.8460006713867,6818504.0,64.482,59.281,72.4293383495898,33.6160011291504,50.943000793457,42.7179985046387,45.0917313136512,7481345.0,52.4164883111059,8696624.0,2.49178037524282,413421.0,22.3185541909361,3.00281551523404,16591390.0,16.8,0.0,9550336.0,57.562,88.2320022583008,68.6989974975586,77.9710006713867,26.0,0.611202557471074,611.0,8.5,185.5,8.36999988555908,7.23400020599365,7.77699995040894,15.8149995803833,14.8190002441406,15.3070001602173,7041054.0,42.438,87.9410018920899,68.2890014648437,77.6180000305176,11.7679996490479,31.3010005950928,22.0289993286133,-511897651.362031
Israel,100.0,9.6814,64.9499022093752,0.137999996542931,0.0640000030398369,0.0989999994635582,7.0,1.41299998760223,5.59800004959106,3.62700009346008,1.07500004768372,0.634999990463257,1.46800005435944,17.3500003814697,7.83300018310547,25.8229999542236,81.5749969482422,91.5319976806641,72.7089996337891,191.56737,132.1331986,3.11,27.5640552999892,4.09433559145762,33677.4619451632,32688.4081041526,79.6531241815281,59.3720016479492,69.2870025634766,64.2269973754883,3957145.0,84.2,80.7,129.031029460091,8.94699954986572,15.0299997329712,12.164999961853,27.9056029985005,2384813.0,60.6244662363516,5180967.0,11.4699307651479,980220.0,394.916820702403,1.9603489624817,8546000.0,72.5,0.0,661802.0,7.744,10.4980001449585,20.6919994354248,15.8900003433228,33.0,40.775062660007,975.0,12.0,235.0,4.94299983978271,4.6729998588562,4.80000019073486,9.04599952697754,8.26299953460693,8.64200019836426,7884198.0,92.256,9.08499954640865,15.093999736011,12.2639999613166,89.5019989013672,79.3079986572266,84.1100006103516,6004200000.0
Bolivia,93.0391311645508,69.0318,62.8959710638084,5.66699981689453,4.42000007629395,4.92700004577637,7.0,2.79800009727478,4.41599988937378,3.75799989700317,27.3519992828369,27.8549995422363,27.003999710083,22.6259994506836,10.9910001754761,30.6529998779297,50.0219993591309,61.1539993286133,42.3419990539551,569.3368849,278.6782929,2.878,2.6413677150432,4.26391940393987,2457.62596155017,6707.95618414272,39.6975146032685,55.0309982299805,79.8499984741211,67.3580017089844,4984659.0,71.689,66.672,92.8207708349521,23.1650009155273,28.5690002441406,26.371000289917,32.0322630241584,3487635.0,61.3888725098233,6683948.0,6.57886446601828,716299.0,10.050661866519,1.51004690627574,10887882.0,45.2,15.4,3403770.0,31.262,31.6310005187988,37.4039993286133,35.0559997558594,42.0,7.966159074832,591.0,45.0,1025.0,4.10699987411499,2.3289999961853,3.05999994277954,8.41100025177002,5.01100015640259,6.32299995422363,7484112.0,68.738,28.8320007324218,32.9890003204345,31.2980003356934,68.3690032958984,62.5960006713867,64.9440002441406,-2514014188.13787
Luxembourg,100.0,5.4384,44.0192713604521,1.10699999332428,0.616999983787537,0.837000012397766,0.0,2.58800005912781,5.02600002288818,3.93099999427795,1.02600002288818,0.60699999332428,1.36699998378754,12.0500001907349,4.67700004577637,18.0559997558594,86.9250030517578,94.7160034179688,80.5770034790039,188.721139,177.3788151,1.47,35.2759111206832,3.08264331605726,108600.934880422,94920.9587222948,98.1366986657616,52.2400016784668,63.6860008239746,57.9650001525879,281982.0,84.7,80.0,132.697174279675,5.05900001525879,5.54099988937378,5.32499980926514,16.4164120698849,95546.0,69.435185941047,404123.0,14.1484019890681,82346.0,224.71583011583,2.15531198799205,582014.0,0.0,0.0,55524.0,9.54000000000001,8.75399971008301,11.1850004196167,10.0939998626709,23.0,48.0071976058929,321.0,16.5,55.0,6.63100004196167,6.01100015640259,6.28999996185303,17.9160003662109,19.451000213623,18.7040004730225,526490.0,90.46,6.16600000858307,6.15799987316132,6.16199982166291,91.2460021972656,88.8150024414063,89.9059982299805,27234134470.6309
Armenia,100.0,23.975,44.8949433189816,9.47399997711182,3.99399995803833,6.55700016021729,8.0,0.337000012397766,1.37000000476837,0.887000024318695,34.0509986877441,38.3429985046387,30.4489994049072,15.8380002975464,7.47599983215332,22.8560009002686,50.1110000610352,54.1809997558594,46.6949996948242,609.0074779,355.6565539,1.612,10.2286776330545,0.199999997770945,3932.55461733401,8190.23928885988,64.3460297653742,51.2109985351563,70.3339996337891,59.9010009765625,1402993.0,77.64,71.265,117.428480971111,31.0289993286133,36.1790008544922,33.7709999084473,19.9201932702775,582629.0,69.0155209763623,2018577.0,11.0642857533602,323610.0,102.733263083948,0.269302288175516,2924816.0,71.1,0.0,1079784.0,36.918,40.8409996032715,41.5429992675781,41.2150001525879,14.0,18.1763228866363,570.0,4.5,313.0,17.8269996643066,18.2259998321533,18.0400009155273,41.1590003967285,36.6110000610352,38.5909996032715,1845032.0,63.082,40.5029993057251,40.1730008125305,40.3280000686646,59.1590003967285,58.4570007324219,58.7849998474121,-905845561.903669
